iter	Accuracy	Logloss	MCC	Precision	Recall	F1
0	0.6732673267	0.6851946669	0.3294953678	0.7056856187	0.7326388889	0.7189097104
1	0.695049505	0.679216409	0.3764326168	0.7294520548	0.7395833333	0.7344827586
2	0.6772277228	0.6743928814	0.3319355441	0.6947040498	0.7743055556	0.7323481117
3	0.6772277228	0.6693845319	0.3342046691	0.7009646302	0.7569444444	0.7278797997
4	0.6712871287	0.6659575199	0.3188503568	0.6882716049	0.7743055556	0.7287581699
5	0.6851485149	0.6619484278	0.346201516	0.6891495601	0.8159722222	0.747217806
6	0.6891089109	0.6582850556	0.3547436455	0.6920821114	0.8194444444	0.7503974563
7	0.6910891089	0.6538914085	0.3589859859	0.6929824561	0.8229166667	0.7523809524
8	0.6851485149	0.6509565123	0.346086079	0.6827195467	0.8368055556	0.751950078
9	0.6871287129	0.6472421594	0.3504938092	0.6836158192	0.8402777778	0.753894081
10	0.6851485149	0.6427324167	0.346086079	0.6827195467	0.8368055556	0.751950078
11	0.6910891089	0.6395898242	0.3590245858	0.6885714286	0.8368055556	0.7554858934
12	0.6871287129	0.6359056912	0.3503269107	0.6867816092	0.8298611111	0.751572327
13	0.695049505	0.6336506377	0.3676113706	0.6925287356	0.8368055556	0.7578616352
14	0.6910891089	0.6292413815	0.3590245858	0.6885714286	0.8368055556	0.7554858934
15	0.699009901	0.6255670427	0.3761696221	0.6965317919	0.8368055556	0.7602523659
16	0.704950495	0.6216216883	0.3889581564	0.7026239067	0.8368055556	0.763866878
17	0.7089108911	0.6168430406	0.3974542933	0.706744868	0.8368055556	0.7662957075
18	0.7089108911	0.6134630649	0.3974542933	0.706744868	0.8368055556	0.7662957075
19	0.7069306931	0.6093727178	0.3931655297	0.7058823529	0.8333333333	0.7643312102
20	0.7089108911	0.6058608375	0.3974542933	0.706744868	0.8368055556	0.7662957075
21	0.7089108911	0.6026081702	0.3975277594	0.7055393586	0.8402777778	0.7670364501
22	0.7089108911	0.599243274	0.3974136004	0.7079646018	0.8333333333	0.7655502392
23	0.7148514851	0.5945739041	0.4102229689	0.7117647059	0.8402777778	0.7707006369
24	0.7168316832	0.5915582866	0.4144446483	0.7138643068	0.8402777778	0.7719298246
25	0.7188118812	0.5853752511	0.4186617002	0.7159763314	0.8402777778	0.7731629393
26	0.7207920792	0.5828032871	0.4228743609	0.7181008902	0.8402777778	0.7744
27	0.7207920792	0.580191961	0.4228743609	0.7181008902	0.8402777778	0.7744
28	0.7207920792	0.5787173947	0.4228743609	0.7181008902	0.8402777778	0.7744
29	0.7227722772	0.5766947342	0.4270828641	0.7202380952	0.8402777778	0.7756410256
30	0.7227722772	0.5743557477	0.4270828641	0.7202380952	0.8402777778	0.7756410256
31	0.7227722772	0.5715225592	0.4270828641	0.7202380952	0.8402777778	0.7756410256
32	0.7247524752	0.5695704209	0.4312874404	0.7223880597	0.8402777778	0.7768860353
33	0.7306930693	0.5659178077	0.4439409897	0.7275449102	0.84375	0.7813504823
34	0.7326732673	0.5643508287	0.4481264329	0.7297297297	0.84375	0.7826086957
35	0.7267326733	0.5623308346	0.4354883184	0.7245508982	0.8402777778	0.7781350482
36	0.7326732673	0.5600134642	0.4481264329	0.7297297297	0.84375	0.7826086957
37	0.7346534653	0.5575307186	0.4522593282	0.7333333333	0.8402777778	0.783171521
38	0.7366336634	0.5554363463	0.4565671418	0.7327327327	0.8472222222	0.7858293076
39	0.7366336634	0.5527620924	0.4565671418	0.7327327327	0.8472222222	0.7858293076
40	0.7366336634	0.5505819934	0.4565671418	0.7327327327	0.8472222222	0.7858293076
41	0.7425742574	0.5477162872	0.4691667126	0.7379518072	0.8506944444	0.7903225806
42	0.7425742574	0.5460063297	0.4691667126	0.7379518072	0.8506944444	0.7903225806
43	0.7485148515	0.5446297078	0.4820764394	0.7402985075	0.8611111111	0.7961476726
44	0.7504950495	0.5400133715	0.4860246008	0.7439759036	0.8576388889	0.7967741935
45	0.7485148515	0.5382472473	0.4818892688	0.7417417417	0.8576388889	0.7954911433
46	0.7584158416	0.5353850539	0.5025474831	0.7530487805	0.8576388889	0.8019480519
47	0.7584158416	0.5336327439	0.5025474831	0.7530487805	0.8576388889	0.8019480519
48	0.7623762376	0.5316156038	0.5109312986	0.756097561	0.8611111111	0.8051948052
49	0.7683168317	0.5296519041	0.5236035531	0.7598784195	0.8680555556	0.8103727715
50	0.7821782178	0.5246664655	0.553825716	0.7664670659	0.8888888889	0.8231511254
51	0.7821782178	0.5231363897	0.553825716	0.7664670659	0.8888888889	0.8231511254
52	0.7782178218	0.5188881598	0.5457636222	0.7619047619	0.8888888889	0.8205128205
53	0.7841584158	0.5175450948	0.558259938	0.7671641791	0.8923611111	0.8250401284
54	0.7861386139	0.5161608515	0.5618850977	0.7710843373	0.8888888889	0.8258064516
55	0.7940594059	0.5138671424	0.5780018226	0.7804878049	0.8888888889	0.8311688312
56	0.801980198	0.51056726	0.5941257646	0.7901234568	0.8888888889	0.8366013072
57	0.801980198	0.5091509965	0.5941257646	0.7901234568	0.8888888889	0.8366013072
58	0.8059405941	0.506374564	0.6021940924	0.7950310559	0.8888888889	0.8393442623
59	0.801980198	0.5044481405	0.5938723975	0.7919254658	0.8854166667	0.8360655738
60	0.801980198	0.5024128491	0.5941257646	0.7901234568	0.8888888889	0.8366013072
61	0.801980198	0.4997738132	0.5941257646	0.7901234568	0.8888888889	0.8366013072
62	0.8059405941	0.4981451124	0.6021940924	0.7950310559	0.8888888889	0.8393442623
63	0.8059405941	0.4974214138	0.6021940924	0.7950310559	0.8888888889	0.8393442623
64	0.8059405941	0.4955894364	0.6019661552	0.796875	0.8854166667	0.8388157895
65	0.8059405941	0.494039087	0.6019661552	0.796875	0.8854166667	0.8388157895
66	0.8059405941	0.493082866	0.6019661552	0.796875	0.8854166667	0.8388157895
67	0.8079207921	0.4915794514	0.6062304736	0.7975077882	0.8888888889	0.8407224959
68	0.8079207921	0.4899892959	0.6062304736	0.7975077882	0.8888888889	0.8407224959
69	0.8079207921	0.4885620545	0.6062304736	0.7975077882	0.8888888889	0.8407224959
70	0.8099009901	0.4875110518	0.6105157872	0.798136646	0.8923611111	0.8426229508
71	0.8059405941	0.4837319706	0.6021940924	0.7950310559	0.8888888889	0.8393442623
72	0.8118811881	0.482068124	0.6145424412	0.800623053	0.8923611111	0.8440065681
73	0.8237623762	0.4806236497	0.6398172393	0.8080495356	0.90625	0.8543371522
74	0.8198019802	0.4791944792	0.6314856412	0.8049535604	0.9027777778	0.8510638298
75	0.8217821782	0.4782179828	0.6354808718	0.8074534161	0.9027777778	0.8524590164
76	0.8217821782	0.4771919093	0.6354808718	0.8074534161	0.9027777778	0.8524590164
77	0.8277227723	0.475119103	0.6481488374	0.8111455108	0.9097222222	0.8576104746
78	0.8316831683	0.4739075985	0.656102279	0.8161993769	0.9097222222	0.8604269294
79	0.8336633663	0.4701277762	0.660083057	0.81875	0.9097222222	0.8618421053
80	0.8396039604	0.4685467463	0.6723597963	0.8244514107	0.9131944444	0.8665568369
81	0.8415841584	0.4668004309	0.6763373851	0.8270440252	0.9131944444	0.8679867987
82	0.8435643564	0.4639844612	0.6803184018	0.8296529968	0.9131944444	0.8694214876
83	0.8495049505	0.462133615	0.6922836515	0.8375796178	0.9131944444	0.8737541528
84	0.8534653465	0.4610407559	0.7008348356	0.8386075949	0.9201388889	0.8774834437
85	0.8574257426	0.4597662069	0.7085126843	0.8461538462	0.9166666667	0.88
86	0.8613861386	0.4579974842	0.7165113048	0.8516129032	0.9166666667	0.8829431438
87	0.8613861386	0.4568741333	0.7167447593	0.8493589744	0.9201388889	0.8833333333
