iter	Accuracy	Logloss	MCC	Precision	Recall	F1
0	0.6914191419	0.6854287213	0.3847721322	0.6622222222	0.8948948949	0.7611749681
1	0.6897689769	0.6810185367	0.369264256	0.6799007444	0.8228228228	0.7445652174
2	0.6897689769	0.6743217596	0.3684815232	0.6954177898	0.7747747748	0.7329545455
3	0.702970297	0.6686604543	0.3967557329	0.7154929577	0.7627627628	0.738372093
4	0.7062706271	0.6628389012	0.4031340112	0.7158774373	0.7717717718	0.7427745665
5	0.6930693069	0.6588790142	0.3753858443	0.6991869919	0.7747747748	0.735042735
6	0.6881188119	0.6541284549	0.3648714253	0.6914893617	0.7807807808	0.7334273625
7	0.696369637	0.6496146263	0.3820952896	0.7008086253	0.7807807808	0.7386363636
8	0.698019802	0.646278699	0.3853585114	0.6984126984	0.7927927928	0.7426160338
9	0.6930693069	0.6426012232	0.3750846966	0.6919060052	0.7957957958	0.7402234637
10	0.6947194719	0.6395428541	0.3785405699	0.6968085106	0.7867867868	0.7390691114
11	0.698019802	0.6359142481	0.3854106092	0.7005347594	0.7867867868	0.7411598303
12	0.699669967	0.6313683853	0.3888441904	0.7024128686	0.7867867868	0.7422096317
13	0.702970297	0.6275916931	0.395709056	0.7061994609	0.7867867868	0.7443181818
14	0.702970297	0.6247823896	0.395709056	0.7061994609	0.7867867868	0.7443181818
15	0.7062706271	0.6210765792	0.4024795565	0.7077747989	0.7927927928	0.7478753541
16	0.704620462	0.6182915797	0.3990570497	0.7058823529	0.7927927928	0.7468175389
17	0.7062706271	0.6130529154	0.4024795565	0.7077747989	0.7927927928	0.7478753541
18	0.7095709571	0.6099244456	0.4092972395	0.7104557641	0.7957957958	0.7507082153
19	0.7079207921	0.6057343364	0.4059014426	0.7096774194	0.7927927928	0.7489361702
20	0.7095709571	0.6023135047	0.4092972395	0.7104557641	0.7957957958	0.7507082153
21	0.7095709571	0.5998022577	0.4093228223	0.7115902965	0.7927927928	0.75
22	0.7095709571	0.5969998254	0.4093680709	0.7127371274	0.7897897898	0.7492877493
23	0.7095709571	0.5934911492	0.4093228223	0.7115902965	0.7927927928	0.75
24	0.7128712871	0.5907756316	0.4161149226	0.7131367292	0.7987987988	0.7535410765
25	0.7112211221	0.5890151147	0.4127438092	0.7135135135	0.7927927928	0.7510668563
26	0.7095709571	0.5867844332	0.4093228223	0.7115902965	0.7927927928	0.75
27	0.7079207921	0.5842099732	0.4059421899	0.7108108108	0.7897897898	0.7482219061
28	0.7062706271	0.5820563489	0.4025159392	0.7088948787	0.7897897898	0.7471590909
29	0.7095709571	0.5794912162	0.4093228223	0.7115902965	0.7927927928	0.75
30	0.7095709571	0.5770762816	0.4093228223	0.7115902965	0.7927927928	0.75
31	0.7095709571	0.5731238887	0.4092972395	0.7104557641	0.7957957958	0.7507082153
32	0.7112211221	0.5712264666	0.4127034902	0.7112299465	0.7987987988	0.7524752475
33	0.7112211221	0.5687066665	0.4127136802	0.7123655914	0.7957957958	0.7517730496
34	0.7211221122	0.5655581105	0.4332826042	0.7169312169	0.8138138138	0.7623066104
35	0.7227722772	0.5629631317	0.4367496027	0.7176781003	0.8168168168	0.7640449438
36	0.7211221122	0.5597580466	0.4333697486	0.7157894737	0.8168168168	0.762973352
37	0.7244224422	0.5562205014	0.440349722	0.7172774869	0.8228228228	0.7664335664
38	0.7227722772	0.5551332912	0.4369803105	0.7154046997	0.8228228228	0.7653631285
39	0.7211221122	0.5524308348	0.4336100859	0.7135416667	0.8228228228	0.7642956764
40	0.7293729373	0.5507660728	0.4513314577	0.7172236504	0.8378378378	0.7728531856
41	0.7310231023	0.5488056349	0.4549142679	0.7179487179	0.8408408408	0.7745504841
42	0.7310231023	0.5463996017	0.4549142679	0.7179487179	0.8408408408	0.7745504841
43	0.7277227723	0.5443861581	0.4477617499	0.7164948454	0.8348348348	0.7711511789
44	0.7277227723	0.5411290413	0.4477617499	0.7164948454	0.8348348348	0.7711511789
45	0.7359735974	0.5392641004	0.4651669467	0.7223650386	0.8438438438	0.7783933518
46	0.7409240924	0.5378586239	0.4756888004	0.7256410256	0.8498498498	0.7828492393
47	0.7442244224	0.5344218245	0.4820432427	0.7305699482	0.8468468468	0.7844228095
48	0.7541254125	0.5320222976	0.5033881771	0.7358974359	0.8618618619	0.7939142462
49	0.7491749175	0.5300547299	0.4928379246	0.7326478149	0.8558558559	0.7894736842
50	0.7508250825	0.5276584864	0.4958373686	0.7357512953	0.8528528529	0.7899860918
51	0.7524752475	0.5261103077	0.4988759244	0.7389033943	0.8498498498	0.7905027933
52	0.7491749175	0.5247437153	0.4917706563	0.7375328084	0.8438438438	0.7871148459
53	0.7491749175	0.5238819469	0.4917706563	0.7375328084	0.8438438438	0.7871148459
54	0.7508250825	0.5231097806	0.4950953991	0.7394736842	0.8438438438	0.7882187938
55	0.7557755776	0.52058685	0.5054998627	0.7427821522	0.8498498498	0.7927170868
56	0.7640264026	0.5186056626	0.523099247	0.7473958333	0.8618618619	0.8005578801
57	0.7673267327	0.5165516501	0.5299830286	0.75	0.8648648649	0.8033472803
58	0.7706270627	0.5157624126	0.5368668102	0.7526041667	0.8678678679	0.8061366806
59	0.7772277228	0.514601123	0.5502840879	0.7591623037	0.8708708709	0.8111888112
60	0.7772277228	0.5128676906	0.549962644	0.7605263158	0.8678678679	0.8106591865
61	0.7772277228	0.5117217246	0.549962644	0.7605263158	0.8678678679	0.8106591865
62	0.7772277228	0.510765817	0.549962644	0.7605263158	0.8678678679	0.8106591865
63	0.7755775578	0.5099406082	0.5466874817	0.7585301837	0.8678678679	0.8095238095
64	0.7838283828	0.508426371	0.5633622847	0.7671957672	0.8708708709	0.8157524613
65	0.7838283828	0.5070724598	0.5633622847	0.7671957672	0.8708708709	0.8157524613
66	0.7838283828	0.5064268164	0.5633622847	0.7671957672	0.8708708709	0.8157524613
67	0.7821782178	0.5046900207	0.5600910827	0.765171504	0.8708708709	0.8146067416
68	0.7887788779	0.5035880504	0.5741458945	0.7690288714	0.8798798799	0.8207282913
69	0.7871287129	0.5024001928	0.5705378608	0.7684210526	0.8768768769	0.8190743338
70	0.7871287129	0.5014824786	0.5705378608	0.7684210526	0.8768768769	0.8190743338
71	0.7904290429	0.4981544335	0.5770548826	0.7724867725	0.8768768769	0.8213783404
72	0.795379538	0.4963024687	0.5868416017	0.7786666667	0.8768768769	0.8248587571
73	0.795379538	0.4958107954	0.5868416017	0.7786666667	0.8768768769	0.8248587571
74	0.798679868	0.4945880537	0.593374682	0.7828418231	0.8768768769	0.8271954674
75	0.800330033	0.4932210978	0.5966440946	0.7849462366	0.8768768769	0.8283687943
76	0.800330033	0.4924689029	0.5966440946	0.7849462366	0.8768768769	0.8283687943
77	0.800330033	0.489717644	0.5966440946	0.7849462366	0.8768768769	0.8283687943
78	0.800330033	0.4887224918	0.5966440946	0.7849462366	0.8768768769	0.8283687943
79	0.801980198	0.4866629005	0.5999155517	0.7870619946	0.8768768769	0.8295454545
80	0.803630363	0.4858372838	0.6031891498	0.7891891892	0.8768768769	0.8307254623
81	0.8052805281	0.4848960328	0.6067224349	0.7897574124	0.8798798799	0.8323863636
82	0.8069306931	0.4820767347	0.6102685698	0.7903225806	0.8828828829	0.8340425532
83	0.8069306931	0.4809588506	0.6102685698	0.7903225806	0.8828828829	0.8340425532
84	0.8085808581	0.4798018265	0.6135293181	0.7924528302	0.8828828829	0.8352272727
85	0.8085808581	0.4781986899	0.6135293181	0.7924528302	0.8828828829	0.8352272727
86	0.8085808581	0.4769045819	0.6135293181	0.7924528302	0.8828828829	0.8352272727
87	0.8085808581	0.4765630032	0.6135293181	0.7924528302	0.8828828829	0.8352272727
88	0.8085808581	0.4746276581	0.6135293181	0.7924528302	0.8828828829	0.8352272727
89	0.8069306931	0.4738417478	0.6099907691	0.7918918919	0.8798798799	0.8335704125
90	0.8118811881	0.4711520722	0.6198101197	0.7983651226	0.8798798799	0.8371428571
91	0.8085808581	0.4702497422	0.6130237549	0.795640327	0.8768768769	0.8342857143
92	0.8135313531	0.4692578837	0.6230883378	0.8005464481	0.8798798799	0.8383404864
93	0.8135313531	0.4683201744	0.6233258765	0.7989130435	0.8828828829	0.8388017118
94	0.8135313531	0.4667833041	0.6230883378	0.8005464481	0.8798798799	0.8383404864
95	0.8184818482	0.4645961669	0.6336507668	0.8021680217	0.8888888889	0.8433048433
96	0.8168316832	0.462635519	0.6301172372	0.8016304348	0.8858858859	0.8416547789
97	0.8201320132	0.4599228452	0.6366512521	0.806010929	0.8858858859	0.8440629471
98	0.8201320132	0.4592423839	0.6366512521	0.806010929	0.8858858859	0.8440629471
99	0.8201320132	0.4582636567	0.6366512521	0.806010929	0.8858858859	0.8440629471
100	0.8250825083	0.4560212488	0.6464741473	0.8126721763	0.8858858859	0.8477011494
101	0.8267326733	0.4552557381	0.6497546549	0.8149171271	0.8858858859	0.8489208633
102	0.8333333333	0.4524255433	0.6629102394	0.8240223464	0.8858858859	0.8538350217
103	0.8349834983	0.4513532784	0.666207994	0.8263305322	0.8858858859	0.8550724638
104	0.8333333333	0.45049721	0.6629102394	0.8240223464	0.8858858859	0.8538350217
