iter	Accuracy	Logloss	MCC	Precision	Recall	F1
0	0.7821782178	0.6785470282	0.564927466	0.7959183673	0.7647058824	0.78
1	0.8415841584	0.6565896244	0.6835497478	0.8301886792	0.862745098	0.8461538462
2	0.900990099	0.6367872287	0.8125005125	0.976744186	0.8235294118	0.8936170213
3	0.9108910891	0.6175862303	0.8354078532	1	0.8235294118	0.9032258065
4	0.900990099	0.5968490456	0.8125005125	0.976744186	0.8235294118	0.8936170213
5	0.9207920792	0.5809120072	0.8525505622	1	0.8431372549	0.914893617
6	0.9207920792	0.5652083599	0.8525505622	1	0.8431372549	0.914893617
7	0.9306930693	0.5569723902	0.8657547411	0.9782608696	0.8823529412	0.9278350515
8	0.9504950495	0.5461496476	0.9026311719	0.9791666667	0.9215686275	0.9494949495
9	0.9801980198	0.5341608134	0.9611613137	1	0.9607843137	0.98
10	0.9801980198	0.521327335	0.9611613137	1	0.9607843137	0.98
11	0.9801980198	0.503504054	0.9611613137	1	0.9607843137	0.98
12	0.9801980198	0.490490291	0.9611613137	1	0.9607843137	0.98
13	0.9801980198	0.4811477894	0.9611613137	1	0.9607843137	0.98
14	0.9801980198	0.4733582032	0.9611613137	1	0.9607843137	0.98
15	0.9801980198	0.4624985498	0.9611613137	1	0.9607843137	0.98
16	0.9801980198	0.4468828753	0.9611613137	1	0.9607843137	0.98
17	0.9801980198	0.4390078591	0.9611613137	1	0.9607843137	0.98
18	0.9801980198	0.428547623	0.9611613137	1	0.9607843137	0.98
19	0.9801980198	0.4217222866	0.9611613137	1	0.9607843137	0.98
20	0.9801980198	0.4142696308	0.9611613137	1	0.9607843137	0.98
21	0.9801980198	0.4017126205	0.9611613137	1	0.9607843137	0.98
22	0.9801980198	0.3903826924	0.9611613137	1	0.9607843137	0.98
23	0.9801980198	0.3830407723	0.9611613137	1	0.9607843137	0.98
24	0.9801980198	0.3782390138	0.9611613137	1	0.9607843137	0.98
25	0.9801980198	0.3761444663	0.9611613137	1	0.9607843137	0.98
26	0.9801980198	0.3658847828	0.9611613137	1	0.9607843137	0.98
27	0.9801980198	0.356937305	0.9611613137	1	0.9607843137	0.98
28	0.9801980198	0.3539876291	0.9611613137	1	0.9607843137	0.98
29	0.9801980198	0.3499303255	0.9611613137	1	0.9607843137	0.98
30	0.9801980198	0.3431941055	0.9611613137	1	0.9607843137	0.98
31	0.9801980198	0.3382278881	0.9611613137	1	0.9607843137	0.98
32	0.9801980198	0.3354281472	0.9611613137	1	0.9607843137	0.98
33	0.9801980198	0.3276660014	0.9611613137	1	0.9607843137	0.98
34	0.9801980198	0.3213827381	0.9611613137	1	0.9607843137	0.98
35	0.9801980198	0.3127024363	0.9611613137	1	0.9607843137	0.98
36	0.9801980198	0.3062259791	0.9611613137	1	0.9607843137	0.98
37	0.9801980198	0.3010582725	0.9611613137	1	0.9607843137	0.98
38	0.9801980198	0.2940691869	0.9611613137	1	0.9607843137	0.98
39	0.9801980198	0.287904371	0.9611613137	1	0.9607843137	0.98
40	0.9801980198	0.2825482632	0.9611613137	1	0.9607843137	0.98
41	0.9801980198	0.2756353863	0.9611613137	1	0.9607843137	0.98
42	0.9801980198	0.2730922664	0.9611613137	1	0.9607843137	0.98
43	0.9801980198	0.2680333129	0.9611613137	1	0.9607843137	0.98
44	0.9801980198	0.2608450572	0.9611613137	1	0.9607843137	0.98
45	0.9801980198	0.2570651882	0.9611613137	1	0.9607843137	0.98
46	0.9801980198	0.2531104141	0.9611613137	1	0.9607843137	0.98
47	0.9801980198	0.2490303641	0.9611613137	1	0.9607843137	0.98
48	0.9801980198	0.2438332291	0.9611613137	1	0.9607843137	0.98
49	0.9801980198	0.2389460596	0.9611613137	1	0.9607843137	0.98
50	0.9801980198	0.235800289	0.9611613137	1	0.9607843137	0.98
51	0.9801980198	0.2338252967	0.9611613137	1	0.9607843137	0.98
52	0.9801980198	0.231785941	0.9611613137	1	0.9607843137	0.98
53	0.9801980198	0.2299166078	0.9611613137	1	0.9607843137	0.98
54	0.9801980198	0.2267808868	0.9611613137	1	0.9607843137	0.98
55	0.9801980198	0.2245727772	0.9611613137	1	0.9607843137	0.98
56	0.9801980198	0.2225454849	0.9611613137	1	0.9607843137	0.98
57	0.9801980198	0.2193280115	0.9611613137	1	0.9607843137	0.98
58	0.9801980198	0.2163245342	0.9611613137	1	0.9607843137	0.98
59	0.9801980198	0.2112844465	0.9611613137	1	0.9607843137	0.98
60	0.9801980198	0.2100584775	0.9611613137	1	0.9607843137	0.98
61	0.9801980198	0.205623717	0.9611613137	1	0.9607843137	0.98
62	0.9801980198	0.2026315587	0.9611613137	1	0.9607843137	0.98
63	0.9801980198	0.2014332154	0.9611613137	1	0.9607843137	0.98
64	0.9801980198	0.1967816914	0.9611613137	1	0.9607843137	0.98
65	0.9801980198	0.1941385485	0.9611613137	1	0.9607843137	0.98
66	0.9801980198	0.1923947564	0.9611613137	1	0.9607843137	0.98
67	0.9900990099	0.1852698222	0.9803921569	1	0.9803921569	0.9900990099
68	0.9900990099	0.1830617772	0.9803921569	1	0.9803921569	0.9900990099
69	0.9900990099	0.1819920544	0.9803921569	1	0.9803921569	0.9900990099
70	0.9900990099	0.1789243374	0.9803921569	1	0.9803921569	0.9900990099
71	0.9900990099	0.1767935239	0.9803921569	1	0.9803921569	0.9900990099
72	0.9900990099	0.1751594771	0.9803921569	1	0.9803921569	0.9900990099
73	0.9900990099	0.1735418856	0.9803921569	1	0.9803921569	0.9900990099
74	0.9900990099	0.1726650799	0.9803921569	1	0.9803921569	0.9900990099
75	0.9900990099	0.1681246898	0.9803921569	1	0.9803921569	0.9900990099
76	0.9900990099	0.1666656024	0.9803921569	1	0.9803921569	0.9900990099
77	0.9900990099	0.1636050867	0.9803921569	1	0.9803921569	0.9900990099
78	0.9900990099	0.1621096848	0.9803921569	1	0.9803921569	0.9900990099
79	0.9900990099	0.1605623541	0.9803921569	1	0.9803921569	0.9900990099
80	0.9900990099	0.1594529717	0.9803921569	1	0.9803921569	0.9900990099
81	1	0.1572154027	1	1	1	1
82	1	0.1540239076	1	1	1	1
83	1	0.1525760418	1	1	1	1
84	1	0.1510918924	1	1	1	1
85	1	0.1507197984	1	1	1	1
86	1	0.1483997984	1	1	1	1
87	1	0.1466041984	1	1	1	1
88	1	0.1454734436	1	1	1	1
89	1	0.1443837031	1	1	1	1
90	1	0.1430799961	1	1	1	1
91	1	0.1421838623	1	1	1	1
92	1	0.1394283145	1	1	1	1
93	1	0.1388763644	1	1	1	1
94	1	0.1377110342	1	1	1	1
95	1	0.1360349622	1	1	1	1
96	1	0.1357451277	1	1	1	1
97	1	0.1346541605	1	1	1	1
98	1	0.1336783516	1	1	1	1
99	1	0.131527966	1	1	1	1
100	1	0.1299166456	1	1	1	1
101	1	0.1287148028	1	1	1	1
102	1	0.1282509528	1	1	1	1
103	1	0.1272169797	1	1	1	1
104	1	0.1258781187	1	1	1	1
105	1	0.124561546	1	1	1	1
106	1	0.1225969599	1	1	1	1
107	1	0.1210988989	1	1	1	1
108	1	0.1202883	1	1	1	1
109	1	0.1182909297	1	1	1	1
110	1	0.1172415341	1	1	1	1
111	1	0.1152960972	1	1	1	1
112	1	0.1138123215	1	1	1	1
113	1	0.1131848807	1	1	1	1
114	1	0.1113397714	1	1	1	1
115	1	0.1097968233	1	1	1	1
116	1	0.1086452144	1	1	1	1
117	1	0.1077030608	1	1	1	1
118	1	0.1067770866	1	1	1	1
119	1	0.1055918776	1	1	1	1
120	1	0.1034816366	1	1	1	1
121	1	0.1030731777	1	1	1	1
122	1	0.1013955906	1	1	1	1
123	1	0.09972935183	1	1	1	1
124	1	0.0981402408	1	1	1	1
125	1	0.09737403981	1	1	1	1
126	1	0.09703477891	1	1	1	1
127	1	0.09582858297	1	1	1	1
128	1	0.09460721758	1	1	1	1
129	1	0.0942081673	1	1	1	1
130	1	0.09259576653	1	1	1	1
131	1	0.09213138469	1	1	1	1
132	1	0.0901387613	1	1	1	1
133	1	0.08879269229	1	1	1	1
134	1	0.08694829856	1	1	1	1
135	1	0.08641076256	1	1	1	1
136	1	0.08529408835	1	1	1	1
137	1	0.0847479067	1	1	1	1
138	1	0.08391136122	1	1	1	1
139	1	0.08315775493	1	1	1	1
140	1	0.08227997022	1	1	1	1
141	1	0.08167656755	1	1	1	1
142	1	0.08093469383	1	1	1	1
143	1	0.08065300803	1	1	1	1
144	1	0.07933424745	1	1	1	1
145	1	0.07865952503	1	1	1	1
146	1	0.07795703473	1	1	1	1
147	1	0.07743957896	1	1	1	1
148	1	0.07691901133	1	1	1	1
149	1	0.07662914351	1	1	1	1
150	1	0.07584055084	1	1	1	1
151	1	0.07507357866	1	1	1	1
152	1	0.073641932	1	1	1	1
153	1	0.07313382787	1	1	1	1
154	1	0.0726164988	1	1	1	1
155	1	0.07216337037	1	1	1	1
156	1	0.07101907338	1	1	1	1
157	1	0.07082761018	1	1	1	1
158	1	0.07074744848	1	1	1	1
159	1	0.06991596859	1	1	1	1
160	1	0.06948211854	1	1	1	1
161	1	0.06933273952	1	1	1	1
162	1	0.06851046691	1	1	1	1
163	1	0.06684275444	1	1	1	1
164	1	0.06627293828	1	1	1	1
165	1	0.06501358316	1	1	1	1
166	1	0.0648672578	1	1	1	1
167	1	0.06420790798	1	1	1	1
168	1	0.0640576761	1	1	1	1
169	1	0.06301617637	1	1	1	1
170	1	0.06234432337	1	1	1	1
171	1	0.06195344007	1	1	1	1
172	1	0.06038228668	1	1	1	1
173	1	0.06026224679	1	1	1	1
174	1	0.06012192365	1	1	1	1
175	1	0.05962701484	1	1	1	1
176	1	0.05868486123	1	1	1	1
177	1	0.05764202901	1	1	1	1
178	1	0.05667961908	1	1	1	1
179	1	0.05642576056	1	1	1	1
180	1	0.05612269887	1	1	1	1
181	1	0.05548881389	1	1	1	1
182	1	0.05494972399	1	1	1	1
183	1	0.05455787485	1	1	1	1
184	1	0.05435291518	1	1	1	1
185	1	0.05278980619	1	1	1	1
186	1	0.05270833931	1	1	1	1
187	1	0.05222415043	1	1	1	1
188	1	0.05214298044	1	1	1	1
189	1	0.05161782518	1	1	1	1
190	1	0.05127404805	1	1	1	1
191	1	0.05074183228	1	1	1	1
192	1	0.04997193751	1	1	1	1
193	1	0.04981514218	1	1	1	1
194	1	0.04974558893	1	1	1	1
195	1	0.04966002979	1	1	1	1
196	1	0.04891551746	1	1	1	1
197	1	0.04814879424	1	1	1	1
198	1	0.0480722923	1	1	1	1
199	1	0.04736075664	1	1	1	1
200	1	0.04661550574	1	1	1	1
201	1	0.04601349097	1	1	1	1
202	1	0.04560694691	1	1	1	1
203	1	0.04481509332	1	1	1	1
204	1	0.04433908337	1	1	1	1
205	1	0.04427551731	1	1	1	1
206	1	0.04374987982	1	1	1	1
207	1	0.04368890773	1	1	1	1
208	1	0.04360118732	1	1	1	1
209	1	0.0427631535	1	1	1	1
210	1	0.04270495159	1	1	1	1
211	1	0.04200760378	1	1	1	1
212	1	0.04121449592	1	1	1	1
213	1	0.04025987463	1	1	1	1
214	1	0.04019860229	1	1	1	1
215	1	0.04001110475	1	1	1	1
216	1	0.03995680984	1	1	1	1
