iter	Accuracy	Logloss	MCC	Precision	Recall	F1
0	0.6683168317	0.6870319506	0.3368015729	0.641509434	0.9107142857	0.7527675277
1	0.7252475248	0.6805392168	0.4414126426	0.7116104869	0.8482142857	0.7739307536
2	0.7178217822	0.6741540368	0.4258233509	0.7052238806	0.84375	0.7682926829
3	0.7103960396	0.6676005408	0.4110266897	0.695970696	0.8482142857	0.7645875252
4	0.7103960396	0.6616374739	0.4120877553	0.6931407942	0.8571428571	0.7664670659
5	0.7178217822	0.6557971614	0.4300206674	0.695035461	0.875	0.7747035573
6	0.7326732673	0.6508365619	0.4599704512	0.7101449275	0.875	0.784
7	0.7202970297	0.6452224435	0.4358746418	0.6961130742	0.8794642857	0.7771203156
8	0.7178217822	0.6398904236	0.4308729665	0.6936619718	0.8794642857	0.7755905512
9	0.7227722772	0.6327031015	0.4417715815	0.6971830986	0.8839285714	0.7795275591
10	0.7252475248	0.6290938869	0.4467472866	0.6996466431	0.8839285714	0.7810650888
11	0.7277227723	0.620679459	0.4517150168	0.7021276596	0.8839285714	0.7826086957
12	0.7376237624	0.6160614235	0.4715152954	0.7122302158	0.8839285714	0.7888446215
13	0.7351485149	0.6120844856	0.4665749306	0.7096774194	0.8839285714	0.7872763419
14	0.7376237624	0.6075204631	0.4715152954	0.7122302158	0.8839285714	0.7888446215
15	0.7376237624	0.6018879256	0.4715152954	0.7122302158	0.8839285714	0.7888446215
16	0.7351485149	0.5987383134	0.4665749306	0.7096774194	0.8839285714	0.7872763419
17	0.7425742574	0.5937799649	0.4822654184	0.7158273381	0.8883928571	0.7928286853
18	0.7400990099	0.590834911	0.4773486087	0.7132616487	0.8883928571	0.7912524851
19	0.7376237624	0.5885282801	0.4724260891	0.7107142857	0.8883928571	0.7896825397
20	0.7376237624	0.5846644214	0.4724260891	0.7107142857	0.8883928571	0.7896825397
21	0.7425742574	0.5805646601	0.4822654184	0.7158273381	0.8883928571	0.7928286853
22	0.7400990099	0.5762336847	0.4773486087	0.7132616487	0.8883928571	0.7912524851
23	0.745049505	0.5709592948	0.4871769417	0.7184115523	0.8883928571	0.7944111776
24	0.7425742574	0.5672673336	0.4822654184	0.7158273381	0.8883928571	0.7928286853
25	0.7425742574	0.5638797107	0.4822654184	0.7158273381	0.8883928571	0.7928286853
26	0.7524752475	0.5587093041	0.5018839337	0.7262773723	0.8883928571	0.7991967871
27	0.7524752475	0.5543176237	0.5018839337	0.7262773723	0.8883928571	0.7991967871
28	0.7623762376	0.5490835065	0.5214438799	0.737037037	0.8883928571	0.8056680162
29	0.7623762376	0.5466915658	0.5214438799	0.737037037	0.8883928571	0.8056680162
30	0.7673267327	0.5407862378	0.531209674	0.7425373134	0.8883928571	0.8089430894
31	0.7772277228	0.5366658717	0.5507278223	0.7537878788	0.8883928571	0.8155737705
32	0.7747524752	0.5337847868	0.5458490557	0.7509433962	0.8883928571	0.8139059305
33	0.7772277228	0.5301379488	0.5507278223	0.7537878788	0.8883928571	0.8155737705
34	0.7772277228	0.5283088358	0.5507278223	0.7537878788	0.8883928571	0.8155737705
35	0.7797029703	0.5237909635	0.5556066708	0.7566539924	0.8883928571	0.81724846
36	0.7896039604	0.51872312	0.575129888	0.7683397683	0.8883928571	0.8240165631
